coopeuch-migracion-convenios-rsbeneficiosportalconvenios,servicio-estadisticasbeneficios,consultarResumenOperations,Consultar Resumen,Route,Operación para consultar resumen de información de convenio,direct:consultarResumenOperations,StoredProcedure,,,bean:call_sp_obtener_informacion_convenio,convertBodyTo|inputSolicitudId|removeHeaders|utf-8|text/xml;charset=utf-8,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_obtener_informacion_convenio,,,,,Ruta para consultar resumen. Extrae solicitudId. Configura UTF-8. Ejecuta SP información convenio,ALTA,dataSource
coopeuch-migracion-convenios-rsbeneficiosportalconvenios,servicio-estadisticasbeneficios,excepcion,Manejo Errores,Route,Manejo centralizado de excepciones para estadísticas beneficios. Escribe en cola fault y genera respuesta de error,direct:excepcion,AMQ,,,cl.coopeuch.integracion.beneficiosportalconvenios.util.RouteFacade,excepcionAmq|excepcionCrear,,800,,,,ActiveMQ|{[amq.broker.url]}|exchangePattern=InOnly,,,,,JSON marshaling,Handler central de errores estadísticas beneficios. Serializa a JSON. Envía a cola fault. Genera respuesta SOAP,ALTA,ActiveMQ
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,servicioDetallesPlanillaEndpoint,Endpoint SOAP,Endpoint,Endpoint SOAP para detalles de planilla,/convenios/WSDetallesPlanilla,SOAP,etc/wsdl/WSDetallesPlanilla.wsdl,,,DataFormat=MESSAGE,,,,,,,,,,,,,Endpoint principal para gestión de detalles de planilla,ALTA,
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,dataSource,Base Datos,Bean,Configuración de conexión a base de datos SQL Server para usuario convenio,dataSource,JDBC,,,net.sourceforge.jtds.jdbc.Driver,{[jdbc.url.usuarioConvenio]}|{[jdbc.username.usuarioConvenio]}|{[jdbc.password.usuarioConvenio]}|{[jdbc.timeBetweenEvictionRunsMillis.usuarioConvenio]}|{[jdbc.numTestsPerEvictionRun.usuarioConvenio]}|{[jdbc.minEvictableIdleTimeMillis.usuarioConvenio]}|{[jdbc.maxActive.usuarioConvenio]},,,SQL Server,jdbc.url.usuarioConvenio|jdbc.username.usuarioConvenio|jdbc.password.usuarioConvenio,,,,,Configuración pool conexiones SQL Server. Driver JTDS. Charset iso_1. Pool configuración completa,ALTA,
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,beanAMQ,ActiveMQ,Bean,Configuración de componente ActiveMQ para mensajería,beanAMQ,AMQ,,,org.apache.activemq.camel.component.ActiveMQComponent,{[amq.broker.url]}|{[amq.username]}|{[amq.password]}|true,,,,,ActiveMQ|{[amq.broker.url]}|usePooledConnection=true,,,,,Configuración ActiveMQ con pool de conexiones. Broker URL configurable,ALTA,
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,sql,SQL Component,Bean,Componente SQL para ejecución de consultas,sql,SQL,,,org.apache.camel.component.sql.SqlComponent,dataSource,,,,,SQL Server,jdbc.url.usuarioConvenio,,,,,Componente SQL Camel para ejecutar consultas en base de datos,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,beanRouteFacade,Utilidad,Bean,Bean de utilidad para transformaciones y lógica de negocio,beanRouteFacade,Internal,,,cl.coopeuch.integracion.detallesplanilla.util.RouteFacade,backupBody|excepcionAmq|excepcionCrear|crearJMSCorrelationId24|startTimer|endTimer|extractDetailPlanillaPorMesAnoResponse|extractDetailPlanillaPorRutResponse,,,,,,,,,,,Bean de utilidad para transformaciones y manejo de errores,ALTA,
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_get_planillas_without_reason,SP Planillas Sin Razón,StoredProcedure,Stored procedure para contar planillas sin razón,bean:call_sp_get_planillas_without_reason,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.ContarRazonesPendientes,sp_get_planillas_without_reason|inputSolicitudId|inputRutVisdor|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_planillas_without_reason,,,,,Stored procedure para contar planillas sin razón. Parámetros: inputSolicitudId, inputRutVisdor (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_update_planilla_Reason,SP Actualizar Razón,StoredProcedure,Stored procedure para actualizar razón de planilla,bean:call_sp_update_planilla_Reason,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.GuardarRazonesPendientes,sp_update_planilla_reason|inputSolicitude|inputIdPlanilla|inputRutSocio|inputMonthYear|inputReason|inputReasonCode|inputRutExecutor|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_update_planilla_reason,,,,,Stored procedure para actualizar razón de planilla. Parámetros: inputSolicitude, inputIdPlanilla, inputRutSocio, inputMonthYear, inputReason, inputReasonCode, inputRutExecutor (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_update_planilla_details1,SP Actualizar Detalles,StoredProcedure,Stored procedure para actualizar detalles de planilla,bean:call_sp_update_planilla_details1,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.GuardarDetallePlanillaModificada,sp_update_planilla_details|solicitudid|discountperiod|rut|idplanilla|nombresocio|numerodeproductos|montoinformado|montodescontar|totalapplied|reason|rutExecutor|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_update_planilla_details,,,,,Stored procedure para actualizar detalles de planilla. Parámetros: solicitudid, discountperiod, rut, idplanilla, nombresocio, numerodeproductos, montoinformado, montodescontar, totalapplied, reason, rutExecutor (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_list_planillas_without_reason,SP Listar Planillas Sin Razón,StoredProcedure,Stored procedure para listar planillas sin razón,bean:call_sp_list_planillas_without_reason,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.ListarRazonesPendientes,sp_list_planillas_without_reason|inputSolicitudId|inputRutId|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_list_planillas_without_reason,,,,,Stored procedure para listar planillas sin razón. Parámetros: inputSolicitudId, inputRutId (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_get_modified_planillas,SP Planillas Modificadas,StoredProcedure,Stored procedure para obtener planillas modificadas,bean:call_sp_get_modified_planillas,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.ConsultarDetallePlanillasModificas,sp_get_modified_planillas|inputSolicitudId|inputMonth|inputYear|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_modified_planillas,,,,,Stored procedure para obtener planillas modificadas. Parámetros: inputSolicitudId, inputMonth, inputYear (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_declare_planilla,SP Declarar Planilla,StoredProcedure,Stored procedure para declarar planilla,bean:call_sp_declare_planilla,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.DeclararPlanillaArchivo,sp_declare_planilla|solicitude|monthValue|yearValue|informedAmount|declaredAmount|fileName|declareFile|rutExecutor|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_declare_planilla,,,,,Stored procedure para declarar planilla. Parámetros: solicitude, monthValue, yearValue, informedAmount, declaredAmount, fileName, declareFile, rutExecutor (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_get_convenio,SP Obtener Convenio,StoredProcedure,Stored procedure para obtener convenio,bean:call_sp_get_convenio,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.StoredProcedureBean,sp_get_convenio|inputSolicitudId|convenio,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_convenio,,,,,Stored procedure para obtener convenio. Parámetros: inputSolicitudId (IN), convenio (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_get_mediopagos,SP Medios de Pago,StoredProcedure,Stored procedure para obtener medios de pago,bean:call_sp_get_mediopagos,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.StoredProcedureBean,sp_get_mediopagos|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_mediopagos,,,,,Stored procedure para obtener medios de pago. Parámetros: resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,call_sp_obtener_estados_planillas,SP Estados Planillas,StoredProcedure,Stored procedure para obtener estados de planillas,bean:call_sp_obtener_estados_planillas,StoredProcedure,,,cl.coopeuch.integracion.detallesplanilla.util.db.ProcedimientoListaEstadoPlanillas,sp_obtener_estados_planillas|inputIdsDePlanilla|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_obtener_estados_planillas,,,,,Stored procedure para obtener estados de planillas. Parámetros: inputIdsDePlanilla (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,cxf-inicio,Ruta Principal,Route,Ruta principal que recibe requests y los direcciona según el tipo de operación,direct:cxf-inicio,SOAP,,,cxf:bean:servicioDetallesPlanillaEndpoint,convertBodyTo|backupBody|routeOperationBody|tipoRequest|SendMailDeclarePlanillaRequest|ContarRazonesPendientesRequest|RegistrarRazonesPendientesRequest|ConsultarRazonesPendientesRequest|GetDetailPlanillaPorMesAnoRequest|GetDetailPlanillaPorRutRequest|ConsultarDetallePlanillasModificadasRequest|RegistrarDetallePlanillaModificadaRequest|DeclararPlanillaArchivoRequest|ConsultarEstadoPlanillaRequest|ConsultarConvenioRequest|ConsultarMedioPagoRequest,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta principal. Convierte body a String. Backup body. Determina tipo request. Direcciona a rutas específicas,ALTA,servicioDetallesPlanillaEndpoint|beanRouteFacade
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,sendMailDeclarePlanillaRouteOperation,Enviar Mail Declarar,Route,Operación para enviar mail de declaración de planilla,direct:sendMailDeclarePlanillaRouteOperation,SOAP,,,cxf:{{endpoint.notifications.service}},convertBodyTo|executiveEmail|solicitude|nombreSolicitude|monthText|yearValue|montoInformadoValue|montoPagarValue|estadoValue|archivo_1|nombre_archivo_1|tipo_archivo_1|userId|canal|utf-8|text/xml;charset=utf-8|xslt|removeHeaders|removeSoapActionHeader,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta para enviar mail declarar planilla. Extrae datos del request. Configura UTF-8. Transforma con XSLT. Envía a servicio notificaciones,ALTA,servicioDetallesPlanillaEndpoint|beanRouteFacade
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,contarRazonesPendientesRouteOperation,Contar Razones Pendientes,Route,Operación para contar razones pendientes,direct:contarRazonesPendientesRouteOperation,StoredProcedure,,,bean:call_sp_get_planillas_without_reason,convertBodyTo|inputSolicitudId|inputRutVisdor|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_planillas_without_reason,,,,,Ruta para contar razones pendientes. Extrae solicitudId y rut. Ejecuta SP planillas sin razón,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,registrarRazonesPendientesRouteOperation,Registrar Razones Pendientes,Route,Operación para registrar razones pendientes,direct:registrarRazonesPendientesRouteOperation,StoredProcedure,,,bean:call_sp_update_planilla_Reason,convertBodyTo|inputSolicitude|inputIdPlanilla|inputRutSocio|inputMonthYear|inputReason|inputReasonCode|inputRutExecutor|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_update_planilla_reason,,,,,Ruta para registrar razones pendientes. Extrae parámetros. Ejecuta SP actualizar razón,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,consultarRazonesPendientesRouteOperation,Consultar Razones Pendientes,Route,Operación para consultar razones pendientes,direct:consultarRazonesPendientesRouteOperation,StoredProcedure,,,bean:call_sp_list_planillas_without_reason,convertBodyTo|inputSolicitudId|inputRutId,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_list_planillas_without_reason,,,,,Ruta para consultar razones pendientes. Extrae solicitudId y rut. Ejecuta SP listar planillas sin razón,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,getDetailPlanillaPorMesAnoOperation,Detalle Planilla Mes Año,Route,Operación para obtener detalle de planilla por mes y año,direct:getDetailPlanillaPorMesAnoOperation,AMQ,,,beanAMQ:{{amq.queue.req}},convertBodyTo|requestUsuario|requestCanalDeLlamada|requestIdentidadIni|requestIdentidadFin|requestLineasADesplegar|requestFlagAvanzarRetrocede|requestNumeroDePlanilla|requestCuotaMes|requestCuotaAno|requestIdentidad|crearJMSCorrelationId24|xslt|startTimer|endTimer|extractDetailPlanillaPorMesAnoResponse,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]}|preserveMessageQos=true|jmsMessageType=Text|replyTo={{amq.queue.res}}|replyToType=Shared|synchronous=true|exchangePattern=InOut|requestTimeout=360000,,,,,Ruta para detalle planilla por mes/año. Extrae parámetros. Crea correlation ID. Transforma con XSLT. Envía a AMQ. Procesa respuesta,ALTA,dataSource|beanRouteFacade
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,getDetailPlanillaPorRutOperation,Detalle Planilla Por RUT,Route,Operación para obtener detalle de planilla por RUT,direct:getDetailPlanillaPorRutOperation,AMQ,,,beanAMQ:{{amq.queue.req}},convertBodyTo|requestUsuario|requestCanalDeLlamada|requestNumeroDePlanillaIn|requestNumeroDePlanillaFi|requestLineasADesplegar|requestIdentidad|requestSolicitudId|crearJMSCorrelationId24|xslt|startTimer|endTimer|extractDetailPlanillaPorRutResponse,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]}|preserveMessageQos=true|jmsMessageType=Text|replyTo={{amq.queue.res}}|replyToType=Shared|synchronous=true|exchangePattern=InOut|requestTimeout=180000,,,,,Ruta para detalle planilla por RUT. Extrae parámetros. Crea correlation ID. Transforma con XSLT. Envía a AMQ. Procesa respuesta,ALTA,dataSource|beanRouteFacade
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,consultarDetallePlanillasModificadasOperation,Consultar Detalles Modificados,Route,Operación para consultar detalles de planillas modificadas,direct:consultarDetallePlanillasModificadasOperation,StoredProcedure,,,bean:call_sp_get_modified_planillas,convertBodyTo|inputPlanillaId|inputSolicitudId|inputMonth|inputYear|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_modified_planillas,,,,,Ruta para consultar detalles modificados. Extrae parámetros. Ejecuta SP planillas modificadas,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,registrarDetallePlanillaModificadaOperation,Registrar Detalle Modificado,Route,Operación para registrar detalle de planilla modificada,direct:registrarDetallePlanillaModificadaOperation,StoredProcedure,,,bean:call_sp_update_planilla_details1,convertBodyTo|solicitudid|discountperiod|rut|idplanilla|nombresocio|numerodeproductos|montoinformado|montodescontar|totalapplied|reason|rutExecutor|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_update_planilla_details,,,,,Ruta para registrar detalle modificado. Extrae parámetros. Ejecuta SP actualizar detalles,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,declararPlanillaArchivoRouteOperation,Declarar Planilla Archivo,Route,Operación para declarar planilla archivo,direct:declararPlanillaArchivoRouteOperation,StoredProcedure|SOAP,,,bean:call_sp_declare_planilla|cxf:{{endpoint.audit.service}},convertBodyTo|solicitude|monthValue|monthText|yearValue|informedAmount|declaredAmount|fileName|rut|idplanilla|nombreSolicitude|declareFile|rutExecutor|userId|canal|xslt|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_declare_planilla,,,,,Ruta para declarar planilla archivo. Extrae parámetros. Ejecuta SP declarar. Valida RUT. Envía auditoría,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,consultarEstadoPlanillaRouteOperation,Consultar Estado Planilla,Route,Operación para consultar estado de planilla,direct:consultarEstadoPlanillaRouteOperation,StoredProcedure,,,bean:call_sp_obtener_estados_planillas,convertBodyTo|inputIdsDePlanilla|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_obtener_estados_planillas,,,,,Ruta para consultar estado planilla. Extrae planillaIds. Ejecuta SP estados planillas,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,consultarConvenioOperation,Consultar Convenio,Route,Operación para consultar convenio,direct:consultarConvenioOperation,StoredProcedure,,,bean:call_sp_get_convenio,convertBodyTo|inputSolicitudId|convenio|xslt|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_convenio,,,,,Ruta para consultar convenio. Extrae solicitudId. Ejecuta SP obtener convenio,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,consultarMedioPagoOperation,Consultar Medio Pago,Route,Operación para consultar medio de pago,direct:consultarMedioPagoOperation,StoredProcedure,,,bean:call_sp_get_mediopagos,convertBodyTo|removeHeaders,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_mediopagos,,,,,Ruta para consultar medio pago. Ejecuta SP medios de pago,ALTA,dataSource
coopeuch-migracion-convenios-rsdetallesplanilla,servicio-detallesplanilla,excepcion,Manejo Errores,Route,Manejo centralizado de excepciones para detalles planilla. Escribe en cola fault y genera respuesta de error,direct:excepcion,AMQ,,,cl.coopeuch.integracion.detallesplanilla.util.RouteFacade,excepcionAmq|excepcionCrear,,800,,,,ActiveMQ|{[amq.broker.url]}|exchangePattern=InOnly,,,,,JSON marshaling,Handler central de errores detalles planilla. Serializa a JSON. Envía a cola fault. Genera respuesta SOAP,ALTA,ActiveMQ
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,servicioOrquestacionCreditosPendientesEndpoint,Endpoint SOAP,Endpoint,Endpoint SOAP para orquestación de créditos pendientes,/convenios/WSOrquestacionCreditosPendientes,SOAP,etc/wsdl/WSOrquestacionCreditosPendientes.wsdl,,,DataFormat=MESSAGE,,,,,,,,,,,,,Endpoint principal para orquestación de créditos pendientes,ALTA,
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,dataSource,Base Datos,Bean,Configuración de conexión a base de datos SQL Server para usuario convenio,dataSource,JDBC,,,net.sourceforge.jtds.jdbc.Driver,${jdbc.url.usuarioConvenio}|${jdbc.username.usuarioConvenio}|${jdbc.password.usuarioConvenio},,,SQL Server,jdbc.url.usuarioConvenio|jdbc.username.usuarioConvenio|jdbc.password.usuarioConvenio,,,,,Configuración conexión SQL Server. Driver JTDS. Charset iso_1,ALTA,
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,sql,SQL Component,Bean,Componente SQL para ejecución de consultas,sql,SQL,,,org.apache.camel.component.sql.SqlComponent,dataSource,,,,,SQL Server,jdbc.url.usuarioConvenio,,,,,Componente SQL Camel para ejecutar consultas en base de datos,ALTA,dataSource
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,beanAMQ,ActiveMQ,Bean,Configuración de componente ActiveMQ para mensajería,beanAMQ,AMQ,,,org.apache.activemq.camel.component.ActiveMQComponent,{[amq.broker.url]}|{[amq.username]}|{[amq.password]}|true,,,,,ActiveMQ|{[amq.broker.url]}|usePooledConnection=true,,,,,Configuración ActiveMQ con pool de conexiones. Broker URL configurable,ALTA,
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,beanRouteFacade,Utilidad,Bean,Bean de utilidad para transformaciones y lógica de negocio,beanRouteFacade,Internal,,,cl.coopeuch.integracion.orquestacioncreditospendientes.util.RouteFacade,backupBody|excepcionAmq|excepcionCrear|processPendingCreditList|processContactInfoResponse|processCreditoHistoricoList,,,,,,,,,,,Bean de utilidad para transformaciones y manejo de errores,ALTA,
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,call_sp_get_credito_historico,SP Crédito Histórico,StoredProcedure,Stored procedure para obtener crédito histórico,bean:call_sp_get_credito_historico,StoredProcedure,,,cl.coopeuch.integracion.orquestacioncreditospendientes.util.db.ConsultarCreditoHistorico,sp_get_credito_historico|solicitudId|idCreditRequest|resultSet,,,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_credito_historico,,,,,Stored procedure para obtener crédito histórico. Parámetros: solicitudId, idCreditRequest (IN), resultSet (OUT),ALTA,dataSource
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,cxf-inicio,Ruta Principal,Route,Ruta principal que recibe requests y los direcciona según el tipo de operación,direct:cxf-inicio,SOAP,,,cxf:bean:servicioOrquestacionCreditosPendientesEndpoint,convertBodyTo|backupBody|routeOperationBody|tipoRequest|CreditoPendientesRequest|AprobarVBSolicitudRequest|RechazarVBSolicitudRequest|ConsultarSolicitudRequest|consultarCreditoHistoricoRequest,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta principal. Convierte body a String. Backup body. Determina tipo request. Direcciona a rutas específicas,ALTA,servicioOrquestacionCreditosPendientesEndpoint|beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,consultarCreditosPendientes,Consultar Créditos Pendientes,Route,Operación para consultar créditos pendientes,direct:consultarCreditosPendientes,SOAP,,,cxf:{{endpoint.creditodetails.service}},convertBodyTo|requestUserid|requestCanalLlamada|requestNroSolicitud|requestRutSocio|requestCodConvIni|requestSolCredIni|requestConConvFin|requestSolCredFin|requestLinDespleg|requestFlgPaginar|xslt|processPendingCreditList,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta para consultar créditos pendientes. Extrae parámetros. Transforma con XSLT. Envía a servicio créditos. Procesa respuesta,ALTA,beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,aprobarVBSolicitud,Aprobar VB Solicitud,Route,Operación para aprobar solicitud VB,direct:aprobarVBSolicitud,SOAP|AMQ,,,cxf:{{endpoint.creditodetails.service}}|cxf:{{endpoint.consultar.service}}|cxf:{{endpoint.notifications.service}}|cxf:{{endpoint.audit.service}},convertBodyTo|rut|solicitudId|solicitudName|phone|creditRequestId|rutSocio|rutSocioOriginal|userId|canal|rutEjecutiva|reason|proposedAmount|observation|totalOperation|monto|shareValue|otherDiscounts|totalDiscount|nameSocio|nameResolutor|xslt|processContactInfoResponse|useTestEmailAddress|executiveEmail|executiveName|employeeContactInfoDto|employeeRut|employeeName|emailSendingChoice|sendAcceptRequestEmailXSL|approveCreditoAuditRequestsXsl,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta para aprobar solicitud VB. Extrae parámetros. Transforma con XSLT. Envía a servicios. Procesa contactos. Envía emails. Registra auditoría,ALTA,beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,rechazarVBSolicitud,Rechazar VB Solicitud,Route,Operación para rechazar solicitud VB,direct:rechazarVBSolicitud,SOAP|AMQ,,,cxf:{{endpoint.creditodetails.service}}|cxf:{{endpoint.consultar.service}}|cxf:{{endpoint.notifications.service}}|cxf:{{endpoint.audit.service}},convertBodyTo|rut|solicitudId|solicitudName|phone|creditRequestId|numeroSolicitudCredito|rutSocio|rutSocioOriginal|rutEjecutiva|reason|proposedAmount|observation|userId|canal|totalOperation|shareValue|otherDiscounts|totalDiscount|nameSocio|nameResolutor|xslt|processContactInfoResponse|useTestEmailAddress|executiveEmail|executiveName|employeeContactInfoDto|employeeRut|employeeName|emailSendingChoiceReject|sendRejectCreditRequestEmail|rejectCreditoAuditRequestsXsl,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta para rechazar solicitud VB. Extrae parámetros. Transforma con XSLT. Envía a servicios. Procesa contactos. Envía emails. Registra auditoría,ALTA,beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,consultarSolicitud,Consultar Solicitud,Route,Operación para consultar solicitud,direct:consultarSolicitud,SOAP|AMQ,,,cxf:{{endpoint.creditodetails.service}}|cxf:{{endpoint.consultar.service}}|cxf:{{endpoint.othercreditrequestdetails.service}},convertBodyTo|numeroSolicitudCredito|solicitudId|userId|canal|rutForContact|rutSocio|nombreSocio|rutEjecutivo|nameEjecutivo|processCreditRequestDetails|processContactInfoResponse|emailEmployee|rutForContact|processContactInfoResponse|emailEjecutivo|telefonoEjecutivo|processCreditRequestDetailsPartCResponse|processOtherCreditRequestDetailsResponse|xslt,,800,SQL Server,jdbc.url.usuarioConvenio,,,ActiveMQ|{[amq.broker.url]},,,,Ruta para consultar solicitud. Extrae parámetros. Envía a servicios. Procesa contactos. Obtiene detalles. Genera respuesta,ALTA,beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,consultarCreditoHistoricoOperation,Consultar Crédito Histórico,Route,Operación para consultar crédito histórico,direct:consultarCreditoHistoricoOperation,SOAP|StoredProcedure,,,cxf:{{endpoint.creditodetails.service}}|bean:call_sp_get_credito_historico,convertBodyTo|requestSolicitudId|requestRutSocio|xslt|utf-8|text/xml;charset=utf-8|processCreditoHistoricoList,,800,SQL Server,jdbc.url.usuarioConvenio,,,sp_get_credito_historico,,,,,Ruta para consultar crédito histórico. Extrae parámetros. Transforma con XSLT. Envía a servicio. Ejecuta SP. Procesa respuesta,ALTA,dataSource|beanRouteFacade
coopeuch-migracion-convenios-rsorquestacioncreditospendientes,servicio-orquestacioncreditospendientes,excepcion,Manejo Errores,Route,Manejo centralizado de excepciones para orquestación créditos pendientes. Escribe en cola fault y genera respuesta de error,direct:excepcion,AMQ,,,cl.coopeuch.integracion.orquestacioncreditospendientes.util.RouteFacade,excepcionAmq|excepcionCrear,,800,,,,ActiveMQ|{[amq.broker.url]}|exchangePattern=InOnly,,,,,JSON marshaling,Handler central de errores orquestación créditos pendientes. Serializa a JSON. Envía a cola fault. Genera respuesta SOAP,ALTA,ActiveMQ
coopeuch-migracion-convenios-rsotpidg,servicio-otp-idg,servicioPasswordOTPEndpoint,Endpoint SOAP,Endpoint,Endpoint SOAP para OTP IDG,/convenios/WSOtpIDG,SOAP,etc/wsdl/WSOtpIDG.wsdl,cl.coopeuch.integracion.otpidg.wsdl.otp.WSOtpIDGSoapPortType,DataFormat=MESSAGE,,,,,,,,,,,,,Endpoint principal para OTP IDG,ALTA,
coopeuch-migracion-convenios-rsotpidg,servicio-otp-idg,endpointSMSSafesigner,Endpoint SMS SafeSigner,Endpoint,Endpoint para SMS SafeSigner,[{endpoint.safesigner.sms.url}],SOAP,etc/wsdl/WSOTPSafesigner.wsdl,cl.coopeuch.integracion.otpidg.sms.wsdl.SmsWs,loggingFeatureEnabled=true,,,,,,,,,,,,,Endpoint SMS SafeSigner para envío de SMS,ALTA,
